favorite_id,recipe_id
1,1
1,2
2,3
2,4
3,5
3,6
4,7
4,8
5,9
5,10
6,11
6,12
7,13
7,14
8,15
8,16
9,17
9,18
10,19
10,20
11,21
11,22
12,23
12,24
13,25
13,26
14,27
14,28
15,29
15,30
16,31
16,32
17,33
17,34
18,35
18,36
19,37
19,38
20,39
20,40
21,41
21,42
22,43
22,44
23,45
23,46
24,47
24,48
25,49
25,50
26,1
26,2
27,3
27,4
28,5
28,6
29,7
29,8
30,9
30,10
31,11
31,12
32,13
32,14
33,15
33,16
34,17
34,18
35,19
35,20
36,21
36,22
37,23
37,24
38,25
38,26
39,27
39,28
40,29
40,30
41,31
41,32
42,33
42,34
43,35
43,36
44,37
44,38
45,39
45,40
46,41
46,42
47,43
47,44
48,45
48,46
49,47
49,48
50,49
50,50
