name,author_id,text,cooking_time,image,short_code
Борщ украинский,1,"1. Сварите мясной бульон в 2 л воды до готовности (1,5 часа), снимите пену. 2. Нарежьте свеклу соломкой, обжарьте с томатной пастой на растительном масле 10 минут. 3. Добавьте нарезанные морковь и лук, пассеруйте 5 минут. 4. Нарежьте картофель кубиками, добавьте в бульон, варите 15 минут. 5. Добавьте капусту и зажарку, варите 10 минут. 6. Добавьте чеснок, укроп, соль, перец, лавровый лист, варите 5 минут. Подавайте со сметаной.",120,recipes/images/default.png,Kj9mP2vN
Паста карбонара,2,"1. Отварите спагетти в подсоленной воде до состояния аль денте (8-10 минут). 2. Обжарьте бекон с чесноком на оливковом масле 5 минут. 3. Смешайте яйца, тертый пармезан и сливки в миске. 4. Слейте воду со спагетти, смешайте с беконом, снимите с огня. 5. Влейте яично-сырную смесь, быстро перемешайте, чтобы соус загустел. 6. Приправьте перцем, подавайте сразу.",20,recipes/images/default.png,Xr5tY7wQ
Салат цезарь,3,"1. Обжарьте куриную грудку на оливковом масле до золотистой корочки (10 минут), нарежьте ломтиками. 2. Смешайте майонез, горчицу, лимонный сок и тертый чеснок для соуса. 3. Порвите салат ромэн на кусочки, выложите в миску. 4. Добавьте курицу, сухарики, полейте соусом. 5. Посыпьте тертым пармезаном, приправьте солью и перцем.",25,recipes/images/default.png,Zm8nR4bL
Гречневая каша,4,"1. Промойте гречку под холодной водой. 2. Вскипятите воду, добавьте соль и гречку. 3. Варите на среднем огне 15 минут, пока вода не впитается. 4. Добавьте сливочное масло, перемешайте, дайте настояться 5 минут под крышкой. Подавайте горячей.",20,recipes/images/default.png,Qp3kW9sM
Куриный суп,5,"1. Сварите куриное филе в 1,5 л воды (30 минут), снимите пену. 2. Нарежьте картофель кубиками, морковь натрите, лук мелко нарежьте. 3. Добавьте овощи в бульон, варите 15 минут. 4. Добавьте вермишель, варите 5 минут. 5. Посыпьте петрушкой, приправьте солью и перцем.",40,recipes/images/default.png,Ty6uJ2fX
Том ям,6,"1. Вскипятите 500 мл воды, добавьте лемонграсс и листья каффир-лайма, варите 5 минут. 2. Добавьте пасту том ям, кокосовое молоко, сахар, рыбный соус, варите 5 минут. 3. Добавьте креветки и грибы, варите 5 минут. 4. Влейте лаймовый сок, посыпьте кинзой. Подавайте горячим.",25,recipes/images/default.png,Bh4vL8nZ
Рататуй,7,"1. Нарежьте баклажан, кабачок и помидоры тонкими кружками. 2. Обжарьте лук и чеснок на оливковом масле, добавьте томатную пасту, тушите 5 минут. 3. Выложите соус в форму для запекания, сверху уложите овощи по кругу. 4. Сбрызните маслом, посыпьте солью, перцем, базиликом. 5. Запекайте при 180°C 40 минут.",50,recipes/images/default.png,Nw1eC5tR
Пицца маргарита,8,"1. Смешайте муку, дрожжи, воду, соль и 1 ст.л. масла, замесите тесто, дайте подняться 1 час. 2. Раскатайте тесто, смажьте томатным соусом. 3. Выложите нарезанную моцареллу и листья базилика. 4. Сбрызните маслом, выпекайте при 220°C 15 минут.",90,recipes/images/default.png,Gd7yA3mP
Омлет с сыром,9,"1. Взбейте яйца с молоком, солью и перцем. 2. Растопите сливочное масло на сковороде. 3. Влейте яичную смесь, посыпьте тертым сыром. 4. Готовьте на среднем огне 5 минут, сложите пополам. Подавайте горячим.",10,recipes/images/default.png,Lk2qF9vB
Тирамису,10,"1. Взбейте желтки с сахаром, добавьте маскарпоне. 2. Взбейте белки до пиков, смешайте с кремом. 3. Обмакните савоярди в кофе с ликером, выложите в форму. 4. Смажьте кремом, повторите слои. 5. Посыпьте какао, охладите 4 часа.",240,recipes/images/default.png,Ve8rU4hY
Лазанья,11,"1. Обжарьте фарш с луком и чесноком, добавьте томатный соус, тушите 10 минут. 2. Выложите в форму слои: бешамель, листы лазаньи, фарш, моцарелла. 3. Повторите слои, посыпьте пармезаном. 4. Запекайте при 180°C 40 минут.",60,recipes/images/default.png,Cs6pN1wT
Крем-суп из тыквы,12,"1. Нарежьте тыкву, картофель, морковь, лук, варите в бульоне 20 минут. 2. Пюрируйте блендером, добавьте сливки, соль, перец, мускатный орех. 3. Прогрейте 5 минут. Подавайте с сухариками.",30,recipes/images/default.png,Ju3xZ7kQ
Голубцы,13,"1. Отварите рис до полуготовности. 2. Обжарьте фарш с луком и морковью. 3. Отделите листья капусты, ошпарьте кипятком. 4. Заверните фарш с рисом в листья, выложите в кастрюлю, залейте томатным соусом. 5. Тушите 40 минут.",60,recipes/images/default.png,Ab9tM4rF
Сырники,14,"1. Смешайте творог, яйца, муку, сахар и ваниль. 2. Сформируйте сырники, обжарьте на масле по 3 минуты с каждой стороны. 3. Подавайте со сметаной или вареньем.",20,recipes/images/default.png,Hm5wL2nX
Чизкейк,15,"1. Измельчите печенье, смешайте с растопленным маслом, выложите в форму. 2. Взбейте сыр, сахар, яйца, сливки. 3. Вылейте на основу, выпекайте при 160°C 50 минут. 4. Охладите 4 часа.",300,recipes/images/default.png,Py8uJ6sB
