name,measurement_unit_id
абрикосовое варенье,1
абрикосовое пюре,1
абрикосовый джем,1
абрикосовый сок,2
абрикосы,1
абрикосы консервированные,1
авокадо,1
агава сироп,2
агар-агар,1
аграм,1
аджика,1
аджика зеленая,1
айва,1
айвовое пюре,1
айран,1
айсинг,1
акула стейки,1
алкоголь,2
алкоголь крепкий,2
алыча,1
альбухара,3
альмехи,1
амарантовая мука,1
ананасовый сироп,2
ананасовый сок,2
ананасы,1
ананасы вяленые,1
ананасы консервированные,1
анис,1
анис звездочки,1
анисовый ликер,2
анис семена,1
анчоусы,1
апельсиновая вода,2
апельсиновая цедра,1
апельсиновая эссенция,4
апельсиновое варенье,1
апельсиновые цукаты,1
апельсиновый джем,1
апельсиновый джем с имбирем,1
апельсиновый ликер,2
апельсиновый сироп,2
апельсиновый сок,2
апельсиновый сок свежевыжатый,2
апельсиновый уксус,2
апельсиновый экстракт,4
апельсины,1
апельсины красные,3
апельсины крупные,3
арахис,1
арахис жареный,1
арахисовая паста,1
арахисовое масло,1
арахис соленый,1
арбузная мякоть,1
арбузы,1
аргановое масло,1
аришта,1
ароматизатор,1
ароматизатор ананас,6
ароматизатор вишня,6
ароматизатор малина,6
ароматизатор ром,6
артишоки,1
артишоки в масле,1
артишоки маринованные,1
аспирин,3
ассорти мясное,1
ассорти овощное,1
ассорти фруктовое,1
ассорти ягодное,1
аши,1
багет,1
багет вчерашний,1
багет мини,1
бадан,1
бадьян,1
базилик лимонный,1
базилик свежий,1
базилик сушеный,1
базилик тайский,1
базилик фиолетовый,1
баклажаны,1
баклажаны мини,1
баклажаны тайские,1
балык,1
бальзам,1
бальзамический крем,1
бальзамический соус,2
бальзамический уксус,2
бальзам рижский черный,2
бамия,1
банановое пюре,1
банановые чипсы,1
банановый зеленый сироп,2
банановый ликер,2
бананы,1
бананы мини,1
барабулька,1
бараний ливер,1
бараний окорок на косточке,1
бараний фарш,1
баранина,1
баранки,1
бараньи антрекоты,1
бараньи голяшки,3
бараньи потроха,1
бараньи ребрышки,3
баранья лопатка,1
баранья нога,1
баранья печень,1
барбарис,1
барбарис вяленый,5
барбарис молотый,1
бастурма,1
батат,1
батон,1
батончики шоколадные,1
безе,1
бекон,1
бекон варено-копченый,1
бекон сырокопченый,1
белорыбица,1
бирнель,2
бисквик смесь готовая,1
бисквит,1
бисквитная крошка,1
бисквитный корж,1
бисквитный рулет,1
бисквит шоколадный,1
бифштекс,3
блинная мука,1
блины готовые,1
блины овсяные,3
бобовые ростки,1
бобы,1
бобы мунг пророщенные,1
бобы тонка,3
ботарга,1
брезаола,1
бренди,1
брокколи замороженная,1
брокколи свежая,1
брусника замороженная,1
брусника свежая,1
брусника сушеная,1
брусничное варенье,1
брусничный соус,1
брынза,1
брынза сербская,1
брюква,1
буженина,1
бузина сироп,2
букет гарни,1
булгур,1
булка,1
булка белая,1
булка сдобная,1
булочки,1
булочки белые черствые,1
булочки бриошь,3
булочки вчерашние,3
булочки для гамбургеров,3
булочки зерновые,3
булочки ржаные,8
булочки с кунжутом,3
бульон,2
бульонные кубики,1
бурбон,2
буррата,1
буряк,1
бусинки кондитерские,4
бусинки кондитерские серебряные,1
бычий хвост,1
ванилин,1
ваниль в стручках,1
ванильная настойка,2
ванильная эссенция,1
ванильный порошок,1
ванильный сироп,2
ванильный экстракт,1
варенье,1
васаби,1
вафельная крошка,1
вафельные коржи,1
вафельные трубочки,1
вафли,1
вафли шоколадные,1
вермишель,1
вермишель яичная,1
вермут,2
вермут белый,2
вермут сухой,2
ветчина,1
ветчина вареная,1
ветчина варено-копченая,1
ветчина копченая,1
ветчина пармская,1
ветчина сырокопченая,1
вешенки,1
винегрет,1
винный камень,1
винный уксус,2
винный уксус белый,2
винный уксус красный,2
винный уксус на чесноке,2
винный уксус на эстрагоне,2
вино белое,2
вино белое полусладкое,2
вино белое полусухое,2
вино белое сладкое,2
вино белое столовое,2
вино белое сухое,2
виноград,1
виноград без косточек,1
виноград белый,1
виноград изабелла,1
виноградное желе,1
виноградные листья,1
виноградные листья маринованные,1
виноградные листья молодые,3
виноградный сок,2
виноградный сок осветленный,2
виноград синий,1
виноград черный,1
вино десертное,2
вино игристое сухое,2
вино красное,2
вино красное полусладкое,2
вино красное полусухое,2
вино красное сладкое,2
вино красное сухое,2
вино крепленое,2
вино розовое полусладкое,2
вино розовое полусухое,2
виски,2
витамин c в порошке,1
вишневая настойка,2
вишневое варенье,1
вишневые листья,1
вишневый джем,1
вишневый ликер,2
вишневый сироп,2
вишневый сок,2
вишня,1
вишня вяленая,1
вишня замороженная,1
вишня засахаренная кондитерская,3
вишня коктейльная,1
вишня мараскино,1
вишня протертая с сахаром,1
вода,2
вода минеральная без газа,2
вода минеральная газированная,2
водка,2
водка анисовая,2
водоросли,1
вустерширский соус,2
галангал корень,1
галеты,1
гамбургер,1
ганаш,1
гарам масала,1
гарнир,1
гаспачо,1
гвоздика,1
гвоздика молотая,1
герань листья,1
геркулес,1
глазурь,1
глазурь белая,1
глазурь готовая,1
глазурь черная,1
глазурь шоколадная белая,1
глутамат натрия,1
глюкоза,1
глюкоза сироп,2
говядина,1
говядина на кости,1
говяжий фарш,1
говяжий язык,1
говяжье сердце,1
говяжьи бифштексы,1
говяжьи голяшки,1
говяжьи легкие,1
говяжьи ребра,1
говяжьи стейки рибай,1
говяжья вырезка,3
говяжья грудинка,1
говяжья лопатка,1
говяжья мозговая кость,3
говяжья мякоть,1
говяжья печень,1
говяжья черева,1
говяжья шейка,1
годжи,1
голец филе,1
голубика,1
голубика замороженная,1
голубь,1
горбуша,1
горбуша в собственном соку,7
горбуша филе,1
горгонзола,1
горгонзола пиканте,1
горох,1
горох колотый,1
гороховые ростки,1
гороховый суп,2
горошек зеленый,1
горошек зеленый замороженный,1
горошек зеленый консервированный,1
горошек стручковый свежий,1
горчица,1
горчица дижонская,1
горчица дижонская с медом,1
горчица желтая семена,1
горчица острая,1
горчица русская,1
горчица семена,1
горчица с зернами,1
горчица сухая,1
горчица французская,1
горчица цитрусовая,1
горчичное масло,2
горчичный порошок,1
грана падано,1
гранатные зерна,1
гранатовая паста,1
гранатовый сироп,2
гранатовый сок,2
гранатовый сок свежевыжатый,2
гранатовый соус,2
гранаты,1
гранита,1
гранола с орехами,1
граппа,1
гратен,1
грейпфрутовая цедра,1
грейпфрутовый сок,1
грейпфруты,1
грейпфруты розовые,1
гренадин,1
гренки,1
грецкие орехи,1
грецкие орехи рубленые,1
гречневая крупа,1
гречневая крупа зеленая,1
гречневая лапша соба,1
гречневая мука,1
гречневое молоко,2
гречневые хлопья,1
грибы,1
грибы белые,1
грибы белые замороженные,1
грибы белые маринованные,1
грибы белые сухие,1
грибы замороженные,1
грибы замороженные (опята и маслята),1
грибы лесные,1
грибы маринованные,1
грибы свежие,1
грибы соленые,1
грибы соломенные консервированные,1
грибы сухие,1
грибы шиитаке,1
грибы шиитаке сухие,1
гриль,1
гриссини,1
грудинка,1
грудинка варено-копченая,1
грудинка копченая,1
грушевое пюре,1
грушевый ликер,2
грушевый сироп,2
грушевый сок,2
грушевый уксус,2
груши,1
груши вяленые,1
грюйер,1
гуава,1
гуанчиале,1
гурьевская каша,1
гусиная грудка копченая,1
гусиная печень,1
гусиный жир,5
гусь,1
гусь тушка,1
дайкон,1
детское питание,1
джем,1
джин,2
джусай,1
диоксид титана,1
долма,1
дорада,1
дорада потрошеная с головой,1
дорада с головой,1
дорада тушка,1
драже,1
дрожжи домашние,1
дрожжи свежие,1
дрожжи сухие,1
дубовая кора,1
душица,1
дыня,1
ежевика,1
ежевика замороженная,1
ёрш,1
ёрш-носарь,1
желатин,1
желатин листовой,1
желе,1
желе для торта,1
желирующее вещество,1
желирующий сахар,1
женьшень,1
жидкий дым,2
жимолость,1
жир,1
жир вытопленный,1
жир кулинарный,1
жир растительный,1
заатар,1
завтрак сухой,1
завтрак сухой подушечки,1
загуститель для сливок,1
зайчатина,1
закваска,1
закваска вечная,1
заменитель сахара,1
заменитель сахара стевия,1
заправка для салатов готовая,1
зверобой,1
зелень,1
зелень рубленая,1
земляника,1
земляника замороженная,1
зефир,1
зира,1
злаковые хлопья,1
зубатка,1
зубатка филе,1
изолят соевого протеина,1
изюм,1
изюм без косточек,1
изюм белый,1
изюм черный,1
икра,1
икра вяленой рыбы,1
икра горбуши зернистая,1
икра красная,1
икра красной рыбы мелкая,1
икра летучей рыбы,1
икра лосося,1
икра мойвы,1
икра палтуса,1
икра судака,1
икра черная,1
имбирное варенье,1
имбирное печенье,1
имбирные цукаты,1
имбирь,1
имбирь засахаренный,1
имбирь корень,1
имбирь маринованный,1
имбирь молотый,1
индейка,1
индейка голень,1
индейка грудка,1
индейка копченая,1
индейка тушка,3
индейка фарш,1
индейка филе,1
индоутка,3
индюшачья печень,1
инжир,1
инжир свежий,1
инжир сушеный,1
ирга,1
ириски,1
итальянские травы,1
йогурт,1
йогурт греческий,1
йогурт жирный,1
йогурт козий,1
йогурт натуральный,1
йогурт нежирный,1
йогурт обезжиренный,1
йогурт фруктовый,1
кабачки,1
кабачки замороженные,1
кабачки молодые,1
каджунская смесь специй,1
какао,1
какао-бобы,1
какао-масло,1
какао-порошок,1
какао-порошок обезжиренный,1
какао сгущенное,1
калина,1
калина протертая,1
калинджи семена,4
кальвадос,1
кальмары,1
кальмары вареные,1
кальмары замороженные,1
кальмары консервированные,1
кальмары филе,1
камамбер,1
камбала,1
камбала филе,1
кампари,2
кандурин золотой,4
каннеллони,1
капеллини,1
каперсы,1
каперсы в винном уксусе,1
каперсы маринованные,1
капуста белокочанная,1
капуста брюссельская,1
капуста брюссельская замороженная,1
капуста кале,1
капуста квашеная,1
капуста кольраби,1
капуста краснокочанная,1
капуста морская,1
капуста морская замороженная,1
капуста морская сушеная,1
капуста пекинская,1
капуста савойская,1
капуста цветная,1
капуста цветная замороженная,1
капустный рассол,1
капучино,1
каракатица,1
каракатица очищенная,1
